id, check, score, max_score, error_var, good_var, message
m5, _dim_check, 1, 1, [], ['fields.m5.dim'], Passed
m5, _gen_check, 1, 1, [], ['fields.m5.gen'], Passed
m5, _particles_check, 2, 2, [], [], Passed
m5, _self_conjugate_check, 1, 1, [], ['fields.m5.self_conjugate'], Passed
m5, _sort_reps, 3, 3, [], ['fields.m5.reps'], Passed
m5, _reps_dim_consistency, 1, 1, [], ['fields.m5.dim', 'fields.m5.reps.g2'], Passed
m5, _gen_type_consistency, 1, 1, [], ['fields.m5.gen'], Passed
m5, _allowed_charges, 1, 1, [], ['fields.m5.reps.g2', 'fields.m5.reps.g1'], Passed
m5, _deplicate_particles, 1, 1, [], ['fields.m5.particles'], Passed
m5, _particle_numbers, 1, 1, [], ['fields.m5.particles', 'fields.m5.gen', 'fields.m5.dim'], Passed
m5, _particle_types, 1, 1, [], ['fields.m5.particles'], Passed
m5, _particle_charges, 1, 1, [], ['particles.f8.charge', 'particles.f10.charge', 'particles.f12.charge', 'fields.m5.self_conjugate'], Passed
m5, _all_particle_pass, 1, 1, [], ['particles.f8.charge', 'particles.f10.charge', 'particles.f12.charge', 'fields.m5.self_conjugate'], Passed
m5, _sort_particles, 2, 2, [], ['particles.f8', 'particles.f10', 'particles.f12'], Passed
m5, _chirality_check, 1, 1, [], [], Passed
m5, _assign_colors, 1, 1, [], [], Passed
m5, _mass_term_check, 10, 10, [], [], Passed
i1, _field_length_check, 1, 1, [], ['interactions.i1.fields'], Passed
i1, _field_check, 1, 1, [], ['interactions.i1.fields'], Passed
i1, _params_check, 1, 1, [], [], Passed
i1, _all_field_pass_checks, 1, 1, [], ['interactions.i1.fields'], Passed
i1, _check_replicate_fields, 1, 1, [], ['interactions.i1.fields'], Passed
i1, _sort_field, 1, 1, [], ['interactions.i1.fields'], Passed
i1, _gen_check, 1, 1, [], ['fields.m1.gen', 'fields.m2.gen'], Passed
i1, _dim_check, 1, 1, [], ['fields.m1.dim', 'fields.m6.dim'], Passed
i1, _dirac_bilinear_product, 1, 1, [], ['fields.m1.particles', 'fields.m2.particles'], Passed
i1, _get_massive_particles, 1, 1, [], ['fields.m1.particles', 'fields.m2.particles'], Passed
i1, _check_U1Y_gauge_symmetry, 1, 1, [], ['fields.m1.reps.g1', 'fields.m2.reps.g1', 'fields.m6.reps.g1'], Passed
i1, _yukawa_mass, 1, 1, [], ['interactions.i1.fields'], Passed
i1, _yukawa_matrix, 1, 1, [], ['interactions.i1.fields'], Passed
i1, _mixing_matrix, 1, 1, [], ['interactions.i1.fields'], Passed
i1, _yukawa_lagrangian, 1, 1, [], ['interactions.i1.fields'], Passed
i2, _field_length_check, 1, 1, [], ['interactions.i2.fields'], Passed
i2, _field_check, 1, 1, [], ['interactions.i2.fields'], Passed
i2, _params_check, 1, 1, [], [], Passed
i2, _all_field_pass_checks, 1, 1, [], ['interactions.i2.fields'], Passed
i2, _check_replicate_fields, 1, 1, [], ['interactions.i2.fields'], Passed
i2, _sort_field, 1, 1, [], ['interactions.i2.fields'], Passed
i2, _gen_check, 1, 1, [], ['fields.m3.gen', 'fields.m4.gen'], Passed
i2, _dim_check, 1, 1, [], ['fields.m3.dim', 'fields.m6.dim'], Passed
i2, _dirac_bilinear_product, 1, 1, [], ['fields.m3.particles', 'fields.m4.particles'], Passed
i2, _get_massive_particles, 1, 1, [], ['fields.m3.particles', 'fields.m4.particles'], Passed
i2, _check_U1Y_gauge_symmetry, 1, 1, [], ['fields.m3.reps.g1', 'fields.m4.reps.g1', 'fields.m6.reps.g1'], Passed
i2, _yukawa_mass, 1, 1, [], ['interactions.i2.fields'], Passed
i2, _yukawa_matrix, 1, 1, [], ['interactions.i2.fields'], Passed
i2, _mixing_matrix, 1, 1, [], ['interactions.i2.fields'], Passed
i2, _yukawa_lagrangian, 1, 1, [], ['interactions.i2.fields'], Passed
i3, _field_length_check, 1, 1, [], ['interactions.i3.fields'], Passed
i3, _field_check, 1, 1, [], ['interactions.i3.fields'], Passed
i3, _params_check, 1, 1, [], [], Passed
i3, _all_field_pass_checks, 1, 1, [], ['interactions.i3.fields'], Passed
i3, _check_replicate_fields, 1, 1, [], ['interactions.i3.fields'], Passed
i3, _sort_field, 1, 1, [], ['interactions.i3.fields'], Passed
i3, _gen_check, 1, 1, [], ['fields.m3.gen', 'fields.m5.gen'], Passed
i3, _dim_check, 1, 1, [], ['fields.m3.dim', 'fields.m6.dim'], Passed
i3, _dirac_bilinear_product, 1, 1, [], ['fields.m3.particles', 'fields.m5.particles'], Passed
i3, _get_massive_particles, 1, 1, [], ['fields.m3.particles', 'fields.m5.particles'], Passed
i3, _check_U1Y_gauge_symmetry, 1, 1, [], ['fields.m3.reps.g1', 'fields.m5.reps.g1', 'fields.m6.reps.g1'], Passed
i3, _yukawa_mass, 1, 1, [], ['interactions.i3.fields'], Passed
i3, _yukawa_matrix, 1, 1, [], ['interactions.i3.fields'], Passed
i3, _mixing_matrix, 1, 1, [], ['interactions.i3.fields'], Passed
i3, _yukawa_lagrangian, 1, 1, [], ['interactions.i3.fields'], Passed
i4, _field_length_check, 1, 1, [], ['interactions.i4.fields'], Passed
i4, _field_check, 1, 1, [], ['interactions.i4.fields'], Passed
i4, _params_check, 1, 1, [], ['interactions.i4.LambdaVar'], Passed
i4, _all_field_pass_checks, 1, 1, [], ['interactions.i4.fields'], Passed
i4, _check_replicate_fields, 1, 1, [], ['interactions.i4.fields'], Passed
i4, _sort_field, 1, 1, [], ['interactions.i4.fields'], Passed
i4, _scalar_mass, 1, 1, [], ['interactions.i4.fields'], Passed
i4, _scalar_quartic, 1, 1, [], ['interactions.i4.fields'], Passed
i4, _scalar_lagrangian, 1, 1, [], ['interactions.i4.fields'], Passed
global, (left)^3, 1, 1, [], [], Passed
global, (color)^3, 1, 1, [], [], Passed
global, (hypercharge)x(left)^2, 1, 1, [], [], Passed
global, (hypercharge)x(color)^2, 1, 1, [], [], Passed
global, (hypercharge)^3, 1, 1, [], [], Passed
global, (hypercharge)^2-grav, 1, 1, [], [], Passed
