id, check, score, max_score, error_var, good_var, message
m2, _groups_check, 1, 1, [], ['fields.m2.groups'], Passed, field
m2, _reps_type_check, 1, 1, [], ['fields.m2.reps'], Passed, field
m2, _reps_length_check, 1, 1, [], ['fields.m2.reps'], Passed, field
m2, _reps_value_check, 1, 1, [], ['fields.m2.reps'], Passed, field
m2, _dim_check, 1, 1, [], ['fields.m2.dim'], Passed, field
m2, _gen_check, 1, 1, [], ['fields.m2.gen'], Passed, field
m2, _self_conjugate_check, 1, 1, [], ['fields.m2.self_conjugate'], Passed, field
m2, _particle_list_check, 1, 1, [], ['fields.m2.particles'], Passed, field
m2, _all_particle_pass, 1, 1, [], ['particles.f1', 'particles.f2', 'particles.f3'], Passed, field
m2, _particle_type_check, 1, 1, [], ['particles.f1', 'particles.f2', 'particles.f3'], Passed, field
m2, _particle_number_check, 1, 1, [], ['fields.m2.particles', 'fields.m2.dim', 'fields.m2.gen'], Passed, field
m2, _particle_field_consistency, 1, 1, [], ['fields.m2.f1', 'fields.m2.f2', 'fields.m2.f3'], Passed, field
m2, _gen_type_consistency, 1, 1, [], ['fields.m2.gen'], Passed, field
m2, _sort_reps, 1, 1, [], ['fields.m2.reps'], Passed, field
m2, _reps_dim_consistency, 1, 1, [], ['fields.m2.dim', 'fields.m2.reps.g2'], Passed, field
m2, _conj_charges_consistency, 1, 1, [], ['particles.f1.charge', 'particles.f2.charge', 'particles.f3.charge', 'fields.m2.self_conjugate'], Passed, field
m2, _rep_charge_consistency, 1, 1, [], ['particles.f1.charge', 'particles.f2.charge', 'particles.f3.charge'], Passed, field
m2, _sort_particles, 1, 1, [], ['particles.f1', 'particles.f2', 'particles.f3'], Passed, field
m2, _chirality_check, 1, 1, [], ['fields.m2.chirality'], Passed, field
m2, _assign_colors, 1, 1, [], ['fields.m2.reps.g3'], Passed, field
m2, _mass_term_check, 10, 10, [], ['interactions.i1'], Passed, field
m3, _name_check, 1, 1, [], ['fields.m3.name'], Passed, field
m3, _type_check, 1, 1, [], ['fields.m3.type'], Passed, field
m3, _groups_check, 1, 1, [], ['fields.m3.groups'], Passed, field
m3, _reps_type_check, 1, 1, [], ['fields.m3.reps'], Passed, field
m3, _reps_length_check, 1, 1, [], ['fields.m3.reps'], Passed, field
m3, _reps_value_check, 1, 1, [], ['fields.m3.reps'], Passed, field
m3, _dim_check, 1, 1, [], ['fields.m3.dim'], Passed, field
m3, _gen_check, 1, 1, [], ['fields.m3.gen'], Passed, field
m3, _self_conjugate_check, 1, 1, [], ['fields.m3.self_conjugate'], Passed, field
m3, _particle_list_check, 1, 1, [], ['fields.m3.particles'], Passed, field
m3, _all_particle_pass, 1, 1, [], ['particles.f7', 'particles.f8', 'particles.f9', 'particles.f10', 'particles.f11', 'particles.f12'], Passed, field
m3, _particle_type_check, 1, 1, [], ['particles.f7', 'particles.f8', 'particles.f9', 'particles.f10', 'particles.f11', 'particles.f12'], Passed, field
m3, _particle_number_check, 1, 1, [], ['fields.m3.particles', 'fields.m3.dim', 'fields.m3.gen'], Passed, field
m3, _particle_field_consistency, 1, 1, [], ['fields.m3.f7', 'fields.m3.f8', 'fields.m3.f9', 'fields.m3.f10', 'fields.m3.f11', 'fields.m3.f12'], Passed, field
m3, _gen_type_consistency, 1, 1, [], ['fields.m3.gen'], Passed, field
m3, _sort_reps, 1, 1, [], ['fields.m3.reps'], Passed, field
m3, _reps_dim_consistency, 1, 1, [], ['fields.m3.dim', 'fields.m3.reps.g2'], Passed, field
m3, _conj_charges_consistency, 1, 1, [], ['particles.f7.charge', 'particles.f8.charge', 'particles.f9.charge', 'particles.f10.charge', 'particles.f11.charge', 'particles.f12.charge', 'fields.m3.self_conjugate'], Passed, field
m3, _rep_charge_consistency, 1, 1, [], ['particles.f7.charge', 'particles.f8.charge', 'particles.f9.charge', 'particles.f10.charge', 'particles.f11.charge', 'particles.f12.charge'], Passed, field
m3, _sort_particles, 1, 1, [], ['particles.f7', 'particles.f8', 'particles.f9', 'particles.f10', 'particles.f11', 'particles.f12'], Passed, field
m3, _chirality_check, 1, 1, [], ['fields.m3.chirality'], Passed, field
m3, _assign_colors, 1, 1, [], ['fields.m3.reps.g3'], Passed, field
m3, _mass_term_check, 10, 10, [], ['interactions.i2', 'interactions.i3'], Passed, field
m4, _name_check, 1, 1, [], ['fields.m4.name'], Passed, field
m4, _type_check, 1, 1, [], ['fields.m4.type'], Passed, field
m4, _groups_check, 1, 1, [], ['fields.m4.groups'], Passed, field
m4, _reps_type_check, 1, 1, [], ['fields.m4.reps'], Passed, field
m4, _reps_length_check, 1, 1, [], ['fields.m4.reps'], Passed, field
m4, _reps_value_check, 1, 1, [], ['fields.m4.reps'], Passed, field
m4, _dim_check, 1, 1, [], ['fields.m4.dim'], Passed, field
m4, _gen_check, 1, 1, [], ['fields.m4.gen'], Passed, field
m4, _self_conjugate_check, 1, 1, [], ['fields.m4.self_conjugate'], Passed, field
m4, _particle_list_check, 1, 1, [], ['fields.m4.particles'], Passed, field
m4, _all_particle_pass, 1, 1, [], ['particles.f7', 'particles.f9', 'particles.f11'], Passed, field
m4, _particle_type_check, 1, 1, [], ['particles.f7', 'particles.f9', 'particles.f11'], Passed, field
m4, _particle_number_check, 1, 1, [], ['fields.m4.particles', 'fields.m4.dim', 'fields.m4.gen'], Passed, field
m4, _particle_field_consistency, 1, 1, [], ['fields.m4.f7', 'fields.m4.f9', 'fields.m4.f11'], Passed, field
m4, _gen_type_consistency, 1, 1, [], ['fields.m4.gen'], Passed, field
m4, _sort_reps, 1, 1, [], ['fields.m4.reps'], Passed, field
m4, _reps_dim_consistency, 1, 1, [], ['fields.m4.dim', 'fields.m4.reps.g2'], Passed, field
m4, _conj_charges_consistency, 1, 1, [], ['particles.f7.charge', 'particles.f9.charge', 'particles.f11.charge', 'fields.m4.self_conjugate'], Passed, field
m4, _rep_charge_consistency, 1, 1, [], ['particles.f7.charge', 'particles.f9.charge', 'particles.f11.charge'], Passed, field
m4, _sort_particles, 1, 1, [], ['particles.f7', 'particles.f9', 'particles.f11'], Passed, field
m4, _chirality_check, 1, 1, [], ['fields.m4.chirality'], Passed, field
m4, _assign_colors, 1, 1, [], ['fields.m4.reps.g3'], Passed, field
m4, _mass_term_check, 10, 10, [], ['interactions.i2'], Passed, field
m5, _name_check, 1, 1, [], ['fields.m5.name'], Passed, field
m5, _type_check, 1, 1, [], ['fields.m5.type'], Passed, field
m5, _groups_check, 1, 1, [], ['fields.m5.groups'], Passed, field
m5, _reps_type_check, 1, 1, [], ['fields.m5.reps'], Passed, field
m5, _reps_length_check, 1, 1, [], ['fields.m5.reps'], Passed, field
m5, _reps_value_check, 1, 1, [], ['fields.m5.reps'], Passed, field
m5, _dim_check, 1, 1, [], ['fields.m5.dim'], Passed, field
m5, _gen_check, 1, 1, [], ['fields.m5.gen'], Passed, field
m5, _self_conjugate_check, 1, 1, [], ['fields.m5.self_conjugate'], Passed, field
m5, _particle_list_check, 1, 1, [], ['fields.m5.particles'], Passed, field
m5, _all_particle_pass, 1, 1, [], ['particles.f8', 'particles.f10', 'particles.f12'], Passed, field
m5, _particle_type_check, 1, 1, [], ['particles.f8', 'particles.f10', 'particles.f12'], Passed, field
m5, _particle_number_check, 1, 1, [], ['fields.m5.particles', 'fields.m5.dim', 'fields.m5.gen'], Passed, field
m5, _particle_field_consistency, 1, 1, [], ['fields.m5.f8', 'fields.m5.f10', 'fields.m5.f12'], Passed, field
m5, _gen_type_consistency, 1, 1, [], ['fields.m5.gen'], Passed, field
